iter	Passed	Remaining
0	0	604
1	1	623
2	1	577
3	2	553
4	2	539
5	3	527
6	3	522
7	4	517
8	4	512
9	5	509
10	5	505
11	6	502
12	6	498
13	7	495
14	7	493
15	7	490
16	8	488
17	8	486
18	9	484
19	9	483
20	10	481
21	11	510
22	11	509
23	12	513
24	13	535
25	14	548
26	15	570
27	16	585
28	17	580
29	19	615
30	19	610
31	20	631
32	21	644
33	22	638
34	24	663
35	24	666
36	25	659
37	27	686
38	27	680
39	28	674
40	30	705
41	30	704
42	32	713
43	32	715
44	33	721
45	35	725
46	36	733
47	36	728
48	38	748
49	39	748
50	40	753
51	41	762
52	42	766
53	43	759
54	43	752
55	44	746
56	44	739
57	45	733
58	45	727
59	46	724
60	46	719
61	47	714
62	47	708
63	48	703
64	48	698
65	49	693
66	49	688
67	49	684
68	50	679
69	50	675
70	51	670
71	51	666
72	52	662
73	52	657
74	53	653
75	53	650
76	53	646
77	54	642
78	54	638
79	55	635
80	55	631
81	56	628
82	56	624
83	57	621
84	57	618
85	57	615
86	58	612
87	58	609
88	59	606
89	59	603
90	60	601
91	60	598
92	61	595
93	61	593
94	61	590
95	62	587
96	62	586
97	63	583
98	63	581
99	64	578
100	64	576
101	65	573
102	65	571
103	66	569
104	66	566
105	66	564
106	67	562
107	67	560
108	68	557
109	68	555
110	69	553
111	69	551
112	70	549
113	70	547
114	70	545
115	71	543
116	72	543
117	72	541
118	72	539
119	73	537
120	73	536
121	74	534
122	74	532
123	75	530
124	75	528
125	75	527
126	76	525
127	76	523
128	77	523
129	77	521
130	78	519
131	78	518
132	79	516
133	79	514
134	80	513
135	80	511
136	80	510
137	81	508
138	81	507
139	82	505
140	82	504
141	83	502
142	83	501
143	84	499
144	84	498
145	84	496
146	85	495
147	85	494
148	86	492
149	86	491
150	87	489
151	87	488
152	88	487
153	88	486
154	88	485
155	89	483
156	89	482
157	90	481
158	90	479
159	91	478
160	91	477
161	92	476
162	92	476
163	93	475
164	93	473
165	94	472
166	94	471
167	94	470
168	95	469
169	95	468
170	96	466
171	96	465
172	97	464
173	97	463
174	98	462
175	98	461
176	98	459
177	99	458
178	99	457
179	100	456
180	100	455
181	101	454
182	101	453
183	101	452
184	102	451
185	102	449
186	103	448
187	103	447
188	104	446
189	104	445
190	104	444
191	105	443
192	105	442
193	106	441
194	106	440
195	107	439
196	107	438
197	108	437
198	108	437
199	109	436
200	109	435
201	110	434
202	110	433
203	110	432
204	111	431
205	111	430
206	112	429
207	112	428
208	113	427
209	113	426
210	113	426
211	114	425
212	114	424
213	115	423
214	115	422
215	116	421
216	116	420
217	116	419
218	117	418
219	117	417
220	118	416
221	118	415
222	119	415
223	119	414
224	120	415
225	120	414
226	121	413
227	121	412
228	122	411
229	122	411
230	123	410
231	123	409
232	124	408
233	124	408
234	125	407
235	125	406
236	126	405
237	126	404
238	126	404
239	127	403
240	127	402
241	128	401
242	128	401
243	129	400
244	129	399
245	130	398
246	130	398
247	131	397
248	131	396
249	131	395
250	132	394
251	132	394
252	133	393
253	133	392
254	134	391
255	134	391
256	134	390
257	135	389
258	135	388
259	136	388
260	136	387
261	137	386
262	137	385
263	138	385
264	138	384
265	138	383
266	139	382
267	139	382
268	140	381
269	140	380
270	141	379
271	141	379
272	142	378
273	142	377
274	142	376
275	143	376
276	143	375
277	144	374
278	144	374
279	145	373
280	145	372
281	146	371
282	146	371
283	146	370
284	147	369
285	147	368
286	148	368
287	148	367
288	149	367
289	149	366
290	150	365
291	150	364
292	150	364
293	151	363
294	151	362
295	152	362
296	152	361
297	153	360
298	153	360
299	154	359
300	154	358
301	154	357
302	155	357
303	155	356
304	156	356
305	156	355
306	157	354
307	157	353
308	157	353
309	158	352
310	158	351
311	159	351
312	159	350
313	160	349
314	160	348
315	160	348
316	161	347
317	161	346
318	162	346
319	162	345
320	163	344
321	163	344
