iter	Passed	Remaining
0	2	2757
1	5	2653
2	6	2320
3	8	2024
4	9	1971
5	11	1863
6	12	1820
7	14	1789
8	15	1733
9	16	1680
10	18	1667
11	19	1642
12	21	1621
13	22	1576
14	24	1582
15	25	1551
16	26	1547
17	28	1546
18	29	1544
19	31	1526
20	31	1487
21	32	1450
22	33	1405
23	33	1374
24	34	1345
25	35	1317
26	35	1292
27	36	1268
28	37	1247
29	37	1227
30	38	1208
31	39	1189
32	40	1173
33	40	1157
34	41	1141
35	42	1126
36	43	1119
37	43	1106
38	44	1094
39	45	1083
40	45	1071
41	46	1060
42	47	1050
43	47	1039
44	48	1030
45	49	1021
46	49	1011
47	50	1003
48	51	994
49	51	986
50	52	978
51	53	971
52	53	963
53	54	956
54	55	950
55	55	943
56	56	936
57	57	930
58	57	924
59	58	918
60	59	912
61	59	907
62	60	902
63	61	897
64	62	892
65	62	887
66	63	882
67	64	878
68	64	873
69	65	875
70	66	870
71	67	866
72	68	863
73	68	860
74	69	856
75	70	853
76	70	849
77	71	845
78	72	842
79	72	838
80	73	834
81	74	830
82	74	827
83	75	824
84	76	820
85	76	817
86	77	815
87	78	812
88	79	809
89	79	806
90	80	803
91	81	800
92	81	797
93	82	794
94	83	791
95	83	788
96	84	785
97	85	783
98	85	780
99	86	778
100	87	775
101	87	772
102	88	770
103	89	767
104	89	765
105	90	762
106	91	760
107	91	757
108	92	755
109	93	753
110	93	751
111	94	748
112	95	746
113	95	744
114	96	742
115	97	739
116	97	737
117	98	735
118	99	733
119	99	731
120	100	730
121	101	728
122	101	726
123	102	724
124	103	722
125	103	720
126	104	718
127	105	716
128	105	715
129	106	713
130	107	711
131	107	709
132	108	707
133	109	706
134	109	704
135	110	702
136	111	700
137	111	699
138	112	697
139	113	695
140	113	694
141	114	692
142	115	690
143	115	688
144	116	687
145	117	685
146	117	684
147	118	682
148	119	680
149	119	679
150	120	677
151	121	676
152	121	674
153	122	673
154	123	671
155	123	670
156	124	668
157	125	667
158	125	665
159	126	664
160	127	662
161	127	661
162	128	660
163	129	659
164	130	658
165	130	656
166	131	655
167	132	654
168	132	653
169	133	652
170	134	651
171	134	649
172	135	648
173	136	647
174	137	646
175	137	645
176	138	644
177	139	642
178	139	641
179	140	640
180	141	639
181	141	638
182	142	636
183	143	635
184	144	634
185	144	633
186	145	632
187	146	630
188	146	629
189	147	628
190	148	627
191	148	626
192	149	625
193	150	623
194	150	622
195	151	621
196	152	620
197	152	619
198	153	618
199	154	617
200	154	616
201	155	615
202	156	614
203	157	612
204	157	611
205	158	610
206	159	609
207	159	608
208	160	607
209	161	606
210	161	605
211	162	604
212	163	603
213	163	602
214	164	601
215	165	600
216	165	598
217	166	597
218	167	596
219	167	595
220	168	594
221	169	593
222	170	592
223	170	591
224	171	590
225	172	590
226	172	588
227	173	587
228	174	586
229	174	585
230	175	584
231	176	583
232	176	582
233	177	581
234	178	580
235	179	579
236	179	578
237	180	577
238	181	576
239	181	575
240	182	574
241	183	573
242	184	573
243	184	572
244	185	571
245	186	570
246	186	569
247	187	568
248	188	567
249	189	567
250	189	566
251	190	565
252	191	564
253	191	563
254	192	562
255	193	561
256	193	560
257	194	559
258	195	559
259	196	558
260	196	557
261	197	556
262	198	555
263	198	554
264	199	553
265	200	552
266	200	551
267	201	550
268	202	549
269	202	548
270	203	547
271	204	546
272	204	545
273	205	544
274	206	543
275	207	543
276	207	542
277	208	541
278	209	541
279	210	540
280	211	540
281	211	539
282	212	538
283	213	537
284	213	536
285	214	536
286	215	535
287	216	534
288	216	533
289	217	532
290	218	531
291	218	530
292	219	530
293	220	529
294	221	528
295	221	527
296	222	526
297	223	525
298	223	524
299	224	523
300	225	522
301	225	522
302	226	521
303	227	520
304	227	519
305	228	518
306	229	517
307	230	516
308	230	515
309	231	515
310	232	514
311	232	513
312	233	512
313	234	511
314	234	510
315	235	509
316	236	508
317	236	507
318	237	506
319	238	505
320	238	504
321	239	504
322	240	503
323	240	502
324	241	501
325	242	500
326	242	499
327	243	498
328	244	497
